marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_response_window_close__v=1__trial=-35__condition=go__digit=5__block=-2__phase=practice__practice=1,1399244.507017800,1399244.507238000
dynamic_sart_trial_complete__v=1__trial=-35__condition=go__digit=5__block=-2__phase=practice__practice=1,1399244.507017800,1399244.513459400
dynamic_sart_stimulus_onset__v=1__trial=-36__condition=go__digit=6__block=-2__phase=practice__practice=1,1399244.898207500,1399244.898549100
dynamic_sart_stimulus_offset__v=1__trial=-36__condition=go__digit=6__block=-2__phase=practice__practice=1,1399245.148309300,1399245.148542400
dynamic_sart_response_window_close__v=1__trial=-36__condition=go__digit=6__block=-2__phase=practice__practice=1,1399246.506770100,1399246.507176500
dynamic_sart_trial_complete__v=1__trial=-36__condition=go__digit=6__block=-2__phase=practice__practice=1,1399246.506770100,1399246.513134700
dynamic_sart_stimulus_onset__v=1__trial=-37__condition=go__digit=1__block=-2__phase=practice__practice=1,1399246.898078400,1399246.898424200
dynamic_sart_stimulus_offset__v=1__trial=-37__condition=go__digit=1__block=-2__phase=practice__practice=1,1399247.150562100,1399247.151008200
dynamic_sart_response_window_close__v=1__trial=-37__condition=go__digit=1__block=-2__phase=practice__practice=1,1399248.506306800,1399248.506648900
dynamic_sart_trial_complete__v=1__trial=-37__condition=go__digit=1__block=-2__phase=practice__practice=1,1399248.506306800,1399248.512554100
dynamic_sart_stimulus_onset__v=1__trial=-38__condition=go__digit=9__block=-2__phase=practice__practice=1,1399248.889999700,1399248.890259900
dynamic_sart_stimulus_offset__v=1__trial=-38__condition=go__digit=9__block=-2__phase=practice__practice=1,1399249.150455400,1399249.150800300
dynamic_sart_response_window_close__v=1__trial=-38__condition=go__digit=9__block=-2__phase=practice__practice=1,1399250.506537000,1399250.506917200
dynamic_sart_trial_complete__v=1__trial=-38__condition=go__digit=9__block=-2__phase=practice__practice=1,1399250.506537000,1399250.512906600
dynamic_sart_stimulus_onset__v=1__trial=-39__condition=no_go__digit=3__block=-2__phase=practice__practice=1,1399250.898378700,1399250.898612700
dynamic_sart_stimulus_offset__v=1__trial=-39__condition=no_go__digit=3__block=-2__phase=practice__practice=1,1399251.150716600,1399251.151072900
dynamic_sart_response_window_close__v=1__trial=-39__condition=no_go__digit=3__block=-2__phase=practice__practice=1,1399252.506543300,1399252.506739200
dynamic_sart_trial_complete__v=1__trial=-39__condition=no_go__digit=3__block=-2__phase=practice__practice=1,1399252.506543300,1399252.512899900
dynamic_sart_stimulus_onset__v=1__trial=-40__condition=go__digit=0__block=-2__phase=practice__practice=1,1399252.920034300,1399252.920417400
dynamic_sart_stimulus_offset__v=1__trial=-40__condition=go__digit=0__block=-2__phase=practice__practice=1,1399253.177814200,1399253.178170500
dynamic_sart_response_window_close__v=1__trial=-40__condition=go__digit=0__block=-2__phase=practice__practice=1,1399254.528074300,1399254.528305500
dynamic_sart_trial_complete__v=1__trial=-40__condition=go__digit=0__block=-2__phase=practice__practice=1,1399254.528074300,1399254.534565800
dynamic_sart_stimulus_onset__v=1__trial=-41__condition=go__digit=6__block=-2__phase=practice__practice=1,1399254.930322000,1399254.930723900
dynamic_sart_stimulus_offset__v=1__trial=-41__condition=go__digit=6__block=-2__phase=practice__practice=1,1399255.178128000,1399255.178347900
dynamic_sart_response_window_close__v=1__trial=-41__condition=go__digit=6__block=-2__phase=practice__practice=1,1399256.527964800,1399256.528274200
dynamic_sart_trial_complete__v=1__trial=-41__condition=go__digit=6__block=-2__phase=practice__practice=1,1399256.527964800,1399256.534399100
dynamic_sart_stimulus_onset__v=1__trial=-42__condition=go__digit=8__block=-2__phase=practice__practice=1,1399256.932034800,1399256.932382400
dynamic_sart_stimulus_offset__v=1__trial=-42__condition=go__digit=8__block=-2__phase=practice__practice=1,1399257.173723100,1399257.173977100
dynamic_sart_response_window_close__v=1__trial=-42__condition=go__digit=8__block=-2__phase=practice__practice=1,1399258.524327700,1399258.525000000
dynamic_sart_trial_complete__v=1__trial=-42__condition=go__digit=8__block=-2__phase=practice__practice=1,1399258.524327700,1399258.529936900
dynamic_sart_stimulus_onset__v=1__trial=-43__condition=go__digit=1__block=-2__phase=practice__practice=1,1399258.907244000,1399258.907793200
dynamic_sart_stimulus_offset__v=1__trial=-43__condition=go__digit=1__block=-2__phase=practice__practice=1,1399259.165806900,1399259.166071700
dynamic_sart_response_window_close__v=1__trial=-43__condition=go__digit=1__block=-2__phase=practice__practice=1,1399260.506972000,1399260.507283600
dynamic_sart_trial_complete__v=1__trial=-43__condition=go__digit=1__block=-2__phase=practice__practice=1,1399260.506972000,1399260.513116700
dynamic_sart_stimulus_onset__v=1__trial=-44__condition=go__digit=4__block=-2__phase=practice__practice=1,1399260.898046600,1399260.898309700
dynamic_sart_stimulus_offset__v=1__trial=-44__condition=go__digit=4__block=-2__phase=practice__practice=1,1399261.150731800,1399261.151086900
dynamic_sart_response_window_close__v=1__trial=-44__condition=go__digit=4__block=-2__phase=practice__practice=1,1399262.506912700,1399262.507453800
dynamic_sart_trial_complete__v=1__trial=-44__condition=go__digit=4__block=-2__phase=practice__practice=1,1399262.506912700,1399262.512962600
dynamic_sart_stimulus_onset__v=1__trial=-45__condition=go__digit=7__block=-2__phase=practice__practice=1,1399262.890525100,1399262.890874500
dynamic_sart_stimulus_offset__v=1__trial=-45__condition=go__digit=7__block=-2__phase=practice__practice=1,1399263.150588000,1399263.150971200
dynamic_sart_response_window_close__v=1__trial=-45__condition=go__digit=7__block=-2__phase=practice__practice=1,1399264.507409400,1399264.507782700
dynamic_sart_trial_complete__v=1__trial=-45__condition=go__digit=7__block=-2__phase=practice__practice=1,1399264.507409400,1399264.514033600
dynamic_sart_stimulus_onset__v=1__trial=-46__condition=go__digit=0__block=-2__phase=practice__practice=1,1399264.898454700,1399264.898831300
dynamic_sart_stimulus_offset__v=1__trial=-46__condition=go__digit=0__block=-2__phase=practice__practice=1,1399265.148212700,1399265.148450800
dynamic_sart_response_window_close__v=1__trial=-46__condition=go__digit=0__block=-2__phase=practice__practice=1,1399266.506797300,1399266.507103700
dynamic_sart_trial_complete__v=1__trial=-46__condition=go__digit=0__block=-2__phase=practice__practice=1,1399266.506797300,1399266.516243700
dynamic_sart_stimulus_onset__v=1__trial=-47__condition=go__digit=2__block=-2__phase=practice__practice=1,1399266.907005700,1399266.907379600
dynamic_sart_stimulus_offset__v=1__trial=-47__condition=go__digit=2__block=-2__phase=practice__practice=1,1399267.164828300,1399267.165088000
dynamic_sart_response_window_close__v=1__trial=-47__condition=go__digit=2__block=-2__phase=practice__practice=1,1399268.506969100,1399268.507266700
dynamic_sart_trial_complete__v=1__trial=-47__condition=go__digit=2__block=-2__phase=practice__practice=1,1399268.506969100,1399268.513244200
dynamic_sart_stimulus_onset__v=1__trial=-48__condition=go__digit=9__block=-2__phase=practice__practice=1,1399268.898601800,1399268.898801100
dynamic_sart_stimulus_offset__v=1__trial=-48__condition=go__digit=9__block=-2__phase=practice__practice=1,1399269.148576100,1399269.149110200
dynamic_sart_response_window_close__v=1__trial=-48__condition=go__digit=9__block=-2__phase=practice__practice=1,1399270.506902100,1399270.507211800
dynamic_sart_trial_complete__v=1__trial=-48__condition=go__digit=9__block=-2__phase=practice__practice=1,1399270.506902100,1399270.513266000
dynamic_sart_stimulus_onset__v=1__trial=-49__condition=no_go__digit=3__block=-2__phase=practice__practice=1,1399270.894891800,1399270.895170300
dynamic_sart_stimulus_offset__v=1__trial=-49__condition=no_go__digit=3__block=-2__phase=practice__practice=1,1399271.150038000,1399271.150449400
dynamic_sart_response_window_close__v=1__trial=-49__condition=no_go__digit=3__block=-2__phase=practice__practice=1,1399272.506535500,1399272.506839500
dynamic_sart_trial_complete__v=1__trial=-49__condition=no_go__digit=3__block=-2__phase=practice__practice=1,1399272.506535500,1399272.512635400
dynamic_sart_stimulus_onset__v=1__trial=-50__condition=go__digit=5__block=-2__phase=practice__practice=1,1399272.893603200,1399272.894021400
