global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
-29,practice,1,1296476.078,1296476.2671001,1296477.678,1296477.8671001,1296477.687,1296477.8730471,0.008999999845400453,1296477.678,1296478.14,1296478.3385155,2.0619999999180436,2.071415400132537,0.46199999982491136,0,,2,measured_from_next_stimulus_flip
-30,practice,1,1296478.14,1296478.3385155,1296479.74,1296479.9385155002,1296479.75,1296479.9381473,0.010000000009313226,1296479.74,1296484.5,1296484.6969083,6.3600000001024455,6.358392799971625,4.760000000009313,0,,2,measured_from_next_stimulus_flip
-31,practice,1,1296484.5,1296484.6969083,1296486.1,1296486.2969083001,1296486.109,1296486.2949181,0.008999999845400453,1296486.1,1296486.531,1296486.7321429,2.030999999959022,2.035234599839896,0.43099999986588955,0,,2,measured_from_next_stimulus_flip
-32,practice,1,1296486.531,1296486.7321429,1296488.131,1296488.3321429,1296488.14,1296488.3272465,0.008999999845400453,1296488.131,1296488.609,1296488.8013082,2.077999999979511,2.0691653001122177,0.47799999988637865,0,,2,measured_from_next_stimulus_flip
-33,practice,1,1296488.609,1296488.8013082,1296490.209,1296490.4013082,1296490.218,1296490.403972,0.009000000078231096,1296490.209,1296490.671,1296490.8655747,2.0620000001508743,2.0642665000632405,0.462000000057742,0,,2,measured_from_next_stimulus_flip
-34,practice,1,1296490.671,1296490.8655747,1296492.2710000002,1296492.4655747002,1296492.281,1296492.4671343,0.009999999776482582,1296492.2710000002,1296492.703,1296492.8964476,2.031999999890104,2.0308729000389576,0.4319999997969717,0,,2,measured_from_next_stimulus_flip
-35,practice,1,1296492.703,1296492.8964476,1296494.303,1296494.4964476002,1296494.312,1296494.4990188,0.008999999845400453,1296494.303,1296494.75,1296494.9504681,2.047000000020489,2.0540204998105764,0.44699999992735684,0,,2,measured_from_next_stimulus_flip
-36,practice,1,1296494.75,1296494.9504681,1296496.35,1296496.5504681,1296496.359,1296496.5472701,0.008999999845400453,1296496.35,1296496.796,1296496.9910643,2.046000000089407,2.0405962001532316,0.4459999999962747,0,,2,measured_from_next_stimulus_flip
-37,practice,1,1296496.796,1296496.9910643,1296498.3960000002,1296498.5910643002,1296498.406,1296498.593021,0.009999999776482582,1296498.3960000002,1296498.859,1296499.0459107,2.0629999998491257,2.0548463999293745,0.4629999997559935,0,,2,measured_from_next_stimulus_flip
-38,practice,1,1296498.859,1296499.0459107,1296500.459,1296500.6459107,1296500.468,1296500.6548168,0.009000000078231096,1296500.459,1296500.906,1296501.0991399,2.047000000020489,2.05322919995524,0.44699999992735684,0,,2,measured_from_next_stimulus_flip
-39,practice,1,1296500.906,1296501.0991399,1296502.506,1296502.6991399,1296502.515,1296502.7020111,0.008999999845400453,1296502.506,1296502.937,1296503.1330731,2.030999999959022,2.033933199942112,0.43099999986588955,0,,2,measured_from_next_stimulus_flip
-40,practice,1,1296502.937,1296503.1330731,1296504.537,1296504.7330731,1296504.546,1296504.733039,0.009000000078231096,1296504.537,1296504.984,1296505.1803023,2.047000000020489,2.0472292001359165,0.44699999992735684,0,,2,measured_from_next_stimulus_flip
-41,practice,1,1296504.984,1296505.1803023,1296506.584,1296506.7803023001,1296506.593,1296506.7815479,0.009000000078231096,1296506.584,1296507.031,1296507.2224983,2.047000000020489,2.042195999994874,0.44699999992735684,0,,2,measured_from_next_stimulus_flip
