global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
5,support,0,1399307.312,1399307.5063533,1399308.912,1399309.1063533002,1399308.906,1399309.098128,0.0,1399308.912,1399308.906,1399309.0981661,1.5940000000409782,1.591812799917534,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
6,support,0,1399308.906,1399309.0981661,1399310.506,1399310.6981661,1399310.5,1399310.6907132,0.0,1399310.506,1399310.5,1399310.6907554,1.5940000000409782,1.5925893001258373,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
7,support,0,1399310.5,1399310.6907554,1399312.1,1399312.2907554002,1399312.109,1399312.2984628,0.008999999845400453,1399312.1,1399312.109,1399312.2985057,1.6089999999385327,1.6077502998523414,0.008999999845400453,0,0,2,measured_from_next_stimulus_flip
8,support,0,1399312.109,1399312.2985057,1399313.709,1399313.8985057,1399313.703,1399313.8984129,0.0,1399313.709,1399313.703,1399313.8984561,1.5940000000409782,1.599950399948284,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
9,support,0,1399313.703,1399313.8984561,1399315.303,1399315.4984561,1399315.312,1399315.5071215,0.008999999845400453,1399315.303,1399315.312,1399315.5071608,1.6089999999385327,1.6087047001346946,0.008999999845400453,0,0,2,measured_from_next_stimulus_flip
10,support,0,1399315.312,1399315.5071608,1399316.912,1399317.1071608001,1399316.906,1399317.0983043,0.0,1399316.912,1399317.015,1399317.2101237,1.702999999979511,1.7029629000462592,0.10299999988637865,0,0,2,measured_from_next_stimulus_flip
11,query,0,1399317.015,1399317.2101237,1399318.615,1399318.8101237002,1399318.609,1399318.809081,0.0,1399318.615,1399318.609,1399318.8091229,1.5940000000409782,1.598999199923128,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
12,query,0,1399318.609,1399318.8091229,1399320.209,1399320.4091229,1399320.203,1399320.3991975,0.0,1399320.209,1399320.203,1399320.3992379,1.5940000000409782,1.5901150000281632,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
13,query,0,1399320.203,1399320.3992379,1399321.803,1399321.9992379001,1399321.812,1399322.0086392,0.008999999845400453,1399321.803,1399321.812,1399322.0086817,1.6089999999385327,1.6094438000582159,0.008999999845400453,0,0,2,measured_from_next_stimulus_flip
14,query,0,1399321.812,1399322.0086817,1399323.412,1399323.6086817002,1399323.406,1399323.5984968,0.0,1399323.412,1399323.406,1399323.5985403,1.5940000000409782,1.5898585999384522,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
15,query,0,1399323.406,1399323.5985403,1399325.006,1399325.1985403001,1399325.0,1399325.1897156,0.0,1399325.006,1399325.0,1399325.1897549,1.5940000000409782,1.591214600019157,-0.006000000052154064,0,0,2,measured_from_next_stimulus_flip
