global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_next_trial_within_block,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,next_onset_schedule_drift_timebase,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
41,support,0,6243.8891811,6243.9234809,6245.489181100001,6245.5234809,6245.491293000001,6245.5255991,0.002111900000272726,6245.489181100001,6245.491338600001,6245.5256385,1,1.6021575000004304,1.6021576000002824,0.0021576000002823115,lsl_flip,0,0,2,measured_from_next_stimulus_flip
42,support,0,6245.491338600001,6245.5256385,6247.091338600001,6247.125638500001,6247.088888300001,6247.1231931,0.0,6247.091338600001,6247.0889304,6247.1232305,1,1.5975917999994635,1.597592000000077,-0.0024079999999231383,lsl_flip,0,0,2,measured_from_next_stimulus_flip
43,support,0,6247.0889304,6247.1232305,6248.688930400001,6248.723230500001,6248.690344000001,6248.724649,0.0014135999999780324,6248.688930400001,6248.6903883,6248.7246883,1,1.6014579000002414,1.60145779999948,0.001457799999479814,lsl_flip,0,0,2,measured_from_next_stimulus_flip
44,support,0,6248.6903883,6248.7246883,6250.290388300001,6250.3246883,6250.2898752,6250.3241801,0.0,6250.290388300001,6250.2899187,6250.3242186,1,1.5995303999998214,1.5995302999999694,-0.0004697000000306595,lsl_flip,0,0,2,measured_from_next_stimulus_flip
45,support,0,6250.2899187,6250.3242186,6251.889918700001,6251.9242186,6251.8886109000005,6251.9229158,0.0,6251.889918700001,6251.888655000001,6251.922955,1,1.5987363000003825,1.5987364000002344,-0.0012635999997656633,lsl_flip,0,0,2,measured_from_next_stimulus_flip
46,support,0,6251.888655000001,6251.922955,6253.488655000001,6253.522955,6253.4901367,6253.5244428,0.0014816999992035562,6253.488655000001,6253.490179900001,6253.5244799,1,1.6015249000001859,1.6015249000001859,0.0015249000001857915,lsl_flip,0,0,2,measured_from_next_stimulus_flip
47,support,0,6253.490179900001,6253.5244799,6255.090179900001,6255.124479900001,6255.088986600001,6255.1232919,0.0,6255.090179900001,6255.089027100001,6255.123327,1,1.5988471999999092,1.5988471000000573,-0.0011528999999428358,lsl_flip,0,0,2,measured_from_next_stimulus_flip
48,support,0,6255.089027100001,6255.123327,6256.689027100001,6256.723327000001,6256.6899134000005,6256.7242188,0.000886299999365292,6256.689027100001,6256.689958100001,6256.7242581,1,1.600930999999946,1.6009310999997979,0.0009310999997977909,lsl_flip,0,0,2,measured_from_next_stimulus_flip
49,support,0,6256.689958100001,6256.7242581,6258.289958100001,6258.3242581,6258.288767600001,6258.3230729,0.0,6258.289958100001,6258.288815000001,6258.323115,1,1.5988569000001007,1.5988569000001007,-0.0011430999998993663,lsl_flip,0,0,2,measured_from_next_stimulus_flip
50,support,0,6258.288815000001,6258.323115,6259.888815000001,6259.9231150000005,6259.8887277,6259.9230331,0.0,6259.888815000001,6259.8887714,6259.9230713,1,1.599956399999428,1.599956299999576,-4.370000042408506e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
51,support,0,6259.8887714,6259.9230713,6261.488771400001,6261.5230713,6261.490145500001,6261.5244536,0.0013741000002482906,6261.488771400001,6261.4902166,6261.5245166,1,1.6014451999999437,1.6014453000007052,0.0014453000007050854,lsl_flip,0,0,2,measured_from_next_stimulus_flip
52,support,0,6261.4902166,6261.5245166,6263.0902166000005,6263.124516600001,6263.089001200001,6263.1233063,0.0,6263.0902166000005,6263.0890446,6263.1233446,1,1.5988280000001396,1.59882799999923,-0.0011720000007700015,lsl_flip,0,0,2,measured_from_next_stimulus_flip
53,support,0,6263.0890446,6263.1233446,6264.689044600001,6264.7233446,6264.6901156,6264.7244213,0.0010709999996834085,6264.689044600001,6264.6901616000005,6264.7244617,1,1.6011170000001584,1.6011171000000104,0.001117100000010307,lsl_flip,0,0,2,measured_from_next_stimulus_flip
54,support,0,6264.6901616000005,6264.7244617,6266.290161600001,6266.3244617,6266.291433400001,6266.3257394,0.0012717999998130836,6266.290161600001,6266.291480000001,6266.3257801,1,1.6013184000003093,1.6013184000003093,0.00131840000030925,lsl_flip,0,0,2,measured_from_next_stimulus_flip
55,support,0,6266.291480000001,6266.3257801,6267.891480000001,6267.9257801,6267.897213200001,6267.931518,0.005733199999667704,6267.891480000001,6267.897256100001,6267.931556,1,1.6057761000001847,1.6057758999995713,0.005775899999571177,lsl_flip,0,0,2,measured_from_next_stimulus_flip
56,support,0,6267.897256100001,6267.931556,6269.497256100001,6269.531556,6269.497166700001,6269.5314724,0.0,6269.497256100001,6269.497211000001,6269.531511,1,1.5999548999998296,1.599955000000591,-4.499999940899002e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
57,support,0,6269.497211000001,6269.531511,6271.097211000001,6271.1315110000005,6271.0974523,6271.1317581,0.0002412999992884579,6271.097211000001,6271.0974955,6271.1317955,1,1.6002844999993613,1.6002845000002708,0.0002845000002706932,lsl_flip,0,0,2,measured_from_next_stimulus_flip
58,support,0,6271.0974955,6271.1317955,6272.6974955000005,6272.731795500001,6272.6974531000005,6272.7317586,0.0,6272.6974955000005,6272.697498500001,6272.7317986,1,1.60000300000047,1.6000030999994124,3.099999412281562e-06,lsl_flip,0,0,2,measured_from_next_stimulus_flip
59,support,0,6272.697498500001,6272.7317986,6274.297498500001,6274.3317986,6274.297494,6274.331799,0.0,6274.297498500001,6274.297536000001,6274.3318361,1,1.600037500000326,1.600037500000326,3.750000032587408e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
60,support,0,6274.297536000001,6274.3318361,6275.897536000001,6275.9318361000005,6275.897374,6275.9316791,0.0,6275.897536000001,6275.8974163,6275.9317164,1,1.5998802999993131,1.5998803000002226,-0.00011969999977745616,lsl_flip,0,0,2,measured_from_next_stimulus_flip
