marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_response_window_close__v=1__trial=24__condition=go__digit=2__block=1__phase=support__practice=0,6218.298680000,6218.298994400
dynamic_sart_stimulus_onset__v=1__trial=25__condition=go__digit=5__block=1__phase=support__practice=0,6218.298715800,6218.299204400
dynamic_sart_trial_complete__v=1__trial=24__condition=go__digit=2__block=1__phase=support__practice=0,6218.298680000,6218.304575400
dynamic_sart_stimulus_offset__v=1__trial=25__condition=go__digit=5__block=1__phase=support__practice=0,6218.550006200,6218.550176200
dynamic_sart_response_window_close__v=1__trial=25__condition=go__digit=5__block=1__phase=support__practice=0,6219.898477700,6219.898764800
dynamic_sart_stimulus_onset__v=1__trial=26__condition=go__digit=7__block=1__phase=support__practice=0,6219.898515000,6219.898938500
dynamic_sart_trial_complete__v=1__trial=25__condition=go__digit=5__block=1__phase=support__practice=0,6219.898477700,6219.904587400
dynamic_sart_stimulus_offset__v=1__trial=26__condition=go__digit=7__block=1__phase=support__practice=0,6220.148480000,6220.149092200
dynamic_sart_response_window_close__v=1__trial=26__condition=go__digit=7__block=1__phase=support__practice=0,6221.498491900,6221.498768800
dynamic_sart_stimulus_onset__v=1__trial=27__condition=go__digit=0__block=1__phase=support__practice=0,6221.498529600,6221.498939700
dynamic_sart_trial_complete__v=1__trial=26__condition=go__digit=7__block=1__phase=support__practice=0,6221.498491900,6221.504744300
dynamic_sart_stimulus_offset__v=1__trial=27__condition=go__digit=0__block=1__phase=support__practice=0,6221.748110400,6221.748683700
dynamic_sart_response_window_close__v=1__trial=27__condition=go__digit=0__block=1__phase=support__practice=0,6223.098070800,6223.098437300
dynamic_sart_stimulus_onset__v=1__trial=28__condition=go__digit=8__block=1__phase=support__practice=0,6223.098109100,6223.098711900
dynamic_sart_trial_complete__v=1__trial=27__condition=go__digit=0__block=1__phase=support__practice=0,6223.098070800,6223.103902100
dynamic_sart_stimulus_offset__v=1__trial=28__condition=go__digit=8__block=1__phase=support__practice=0,6223.348615700,6223.349212900
dynamic_sart_response_window_close__v=1__trial=28__condition=go__digit=8__block=1__phase=support__practice=0,6224.698031200,6224.698308000
dynamic_sart_stimulus_onset__v=1__trial=29__condition=no_go__digit=3__block=1__phase=support__practice=0,6224.698071300,6224.698711800
dynamic_sart_trial_complete__v=1__trial=28__condition=go__digit=8__block=1__phase=support__practice=0,6224.698031200,6224.706197600
dynamic_sart_stimulus_offset__v=1__trial=29__condition=no_go__digit=3__block=1__phase=support__practice=0,6224.948128900,6224.948729700
dynamic_sart_response_window_close__v=1__trial=29__condition=no_go__digit=3__block=1__phase=support__practice=0,6226.298205300,6226.298504500
dynamic_sart_stimulus_onset__v=1__trial=30__condition=go__digit=4__block=1__phase=support__practice=0,6226.298247000,6226.298687000
dynamic_sart_trial_complete__v=1__trial=29__condition=no_go__digit=3__block=1__phase=support__practice=0,6226.298205300,6226.306503200
dynamic_sart_stimulus_offset__v=1__trial=30__condition=go__digit=4__block=1__phase=support__practice=0,6226.548223700,6226.548414500
dynamic_sart_response_window_close__v=1__trial=30__condition=go__digit=4__block=1__phase=support__practice=0,6227.897890200,6227.898212000
dynamic_sart_stimulus_onset__v=1__trial=31__condition=go__digit=2__block=1__phase=support__practice=0,6227.897929400,6227.898397400
dynamic_sart_trial_complete__v=1__trial=30__condition=go__digit=4__block=1__phase=support__practice=0,6227.897890200,6227.903993700
dynamic_sart_stimulus_offset__v=1__trial=31__condition=go__digit=2__block=1__phase=support__practice=0,6228.147782100,6228.148781600
dynamic_sart_response_window_close__v=1__trial=31__condition=go__digit=2__block=1__phase=support__practice=0,6229.498470600,6229.498761500
dynamic_sart_stimulus_onset__v=1__trial=32__condition=go__digit=1__block=1__phase=support__practice=0,6229.498510100,6229.498905100
dynamic_sart_trial_complete__v=1__trial=31__condition=go__digit=2__block=1__phase=support__practice=0,6229.498470600,6229.503905700
dynamic_sart_stimulus_offset__v=1__trial=32__condition=go__digit=1__block=1__phase=support__practice=0,6229.748307400,6229.748948000
dynamic_sart_response_window_close__v=1__trial=32__condition=go__digit=1__block=1__phase=support__practice=0,6231.097868000,6231.098381300
dynamic_sart_stimulus_onset__v=1__trial=33__condition=go__digit=9__block=1__phase=support__practice=0,6231.097905600,6231.098551700
dynamic_sart_trial_complete__v=1__trial=32__condition=go__digit=1__block=1__phase=support__practice=0,6231.097868000,6231.104043300
dynamic_sart_stimulus_offset__v=1__trial=33__condition=go__digit=9__block=1__phase=support__practice=0,6231.348069000,6231.348777800
dynamic_sart_response_window_close__v=1__trial=33__condition=go__digit=9__block=1__phase=support__practice=0,6232.698392900,6232.698696300
dynamic_sart_stimulus_onset__v=1__trial=34__condition=no_go__digit=3__block=1__phase=support__practice=0,6232.698434500,6232.698881000
dynamic_sart_trial_complete__v=1__trial=33__condition=go__digit=9__block=1__phase=support__practice=0,6232.698392900,6232.704688100
dynamic_sart_stimulus_offset__v=1__trial=34__condition=no_go__digit=3__block=1__phase=support__practice=0,6232.948530900,6232.948886500
dynamic_sart_response_window_close__v=1__trial=34__condition=no_go__digit=3__block=1__phase=support__practice=0,6234.302614300,6234.302905000
dynamic_sart_stimulus_onset__v=1__trial=35__condition=no_go__digit=3__block=1__phase=support__practice=0,6234.302655000,6234.303066500
dynamic_sart_trial_complete__v=1__trial=34__condition=no_go__digit=3__block=1__phase=support__practice=0,6234.302614300,6234.309456100
dynamic_sart_stimulus_offset__v=1__trial=35__condition=no_go__digit=3__block=1__phase=support__practice=0,6234.558261400,6234.558512400
dynamic_sart_response_window_close__v=1__trial=35__condition=no_go__digit=3__block=1__phase=support__practice=0,6235.906808200,6235.907093600
dynamic_sart_stimulus_onset__v=1__trial=36__condition=go__digit=7__block=1__phase=support__practice=0,6235.906846900,6235.907279500
dynamic_sart_trial_complete__v=1__trial=35__condition=no_go__digit=3__block=1__phase=support__practice=0,6235.906808200,6235.914557000
dynamic_sart_stimulus_offset__v=1__trial=36__condition=go__digit=7__block=1__phase=support__practice=0,6236.161129600,6236.161742200
dynamic_sart_response_window_close__v=1__trial=36__condition=go__digit=7__block=1__phase=support__practice=0,6237.506912700,6237.507239500
dynamic_sart_stimulus_onset__v=1__trial=37__condition=go__digit=4__block=1__phase=support__practice=0,6237.506954400,6237.507460100
dynamic_sart_trial_complete__v=1__trial=36__condition=go__digit=7__block=1__phase=support__practice=0,6237.506912700,6237.515433000
dynamic_sart_stimulus_offset__v=1__trial=37__condition=go__digit=4__block=1__phase=support__practice=0,6237.759193800,6237.759394300
dynamic_sart_response_window_close__v=1__trial=37__condition=go__digit=4__block=1__phase=support__practice=0,6239.111258200,6239.111576900
dynamic_sart_stimulus_onset__v=1__trial=38__condition=go__digit=5__block=1__phase=support__practice=0,6239.111300600,6239.111746100
dynamic_sart_trial_complete__v=1__trial=37__condition=go__digit=4__block=1__phase=support__practice=0,6239.111258200,6239.118045000
dynamic_sart_stimulus_offset__v=1__trial=38__condition=go__digit=5__block=1__phase=support__practice=0,6239.367226500,6239.367805800
dynamic_sart_response_window_close__v=1__trial=38__condition=go__digit=5__block=1__phase=support__practice=0,6240.719480400,6240.719775700
dynamic_sart_stimulus_onset__v=1__trial=39__condition=go__digit=0__block=1__phase=support__practice=0,6240.719521200,6240.719966100
dynamic_sart_trial_complete__v=1__trial=38__condition=go__digit=5__block=1__phase=support__practice=0,6240.719480400,6240.725975900
dynamic_sart_stimulus_offset__v=1__trial=39__condition=go__digit=0__block=1__phase=support__practice=0,6240.973481100,6240.974035400
dynamic_sart_response_window_close__v=1__trial=39__condition=go__digit=0__block=1__phase=support__practice=0,6242.325688600,6242.325985300
dynamic_sart_stimulus_onset__v=1__trial=40__condition=go__digit=8__block=1__phase=support__practice=0,6242.325727900,6242.326132700
dynamic_sart_trial_complete__v=1__trial=39__condition=go__digit=0__block=1__phase=support__practice=0,6242.325688600,6242.331823500
dynamic_sart_stimulus_offset__v=1__trial=40__condition=go__digit=8__block=1__phase=support__practice=0,6242.582377900,6242.582716900
dynamic_sart_response_window_close__v=1__trial=40__condition=go__digit=8__block=1__phase=support__practice=0,6243.923440500,6243.923729600
dynamic_sart_stimulus_onset__v=1__trial=41__condition=go__digit=6__block=1__phase=support__practice=0,6243.923480900,6243.923881800
dynamic_sart_trial_complete__v=1__trial=40__condition=go__digit=8__block=1__phase=support__practice=0,6243.923440500,6243.929398800
dynamic_sart_stimulus_offset__v=1__trial=41__condition=go__digit=6__block=1__phase=support__practice=0,6244.173563100,6244.174138600
dynamic_sart_response_window_close__v=1__trial=41__condition=go__digit=6__block=1__phase=support__practice=0,6245.525599100,6245.525891200
dynamic_sart_stimulus_onset__v=1__trial=42__condition=go__digit=9__block=1__phase=support__practice=0,6245.525638500,6245.526081100
